fecha;ALQUILER $/MES;VARIACIÓN MENSUAL (%);inf mensual;inf acumulada;alquiler ajustado por inf
mar. 17;5809;3,73;2,6;2,6;985519,1923
abr. 17;5933;2,13;1,3;3,9;671037,5128
may. 17;6094;2,71;1,2;5,1;527071,2549
jun. 17;6208;1,88;1,7;6,8;402698,3529
jul. 17;6256;0,76;1,4;8,2;336527,0244
ago. 17;6268;0,19;1,9;10,1;273744,0396
sep. 17;6363;1,52;1,5;11,6;241958,5603
oct. 17;6495;2,08;1,4;13;220380,3462
nov. 17;6610;1,76;3,1;16,1;181097,5776
dic. 17;6791;2,74;1,8;17,9;167346,933
ene. 18;6852;0,9;2,4;20,3;148887,5468
feb. 18;6960;1,57;2,3;22,6;135843,1858
mar. 18;7329;5,31;2,7;25,3;127779,5217
abr. 18;7650;4,37;2,1;27,4;123153,8321
may. 18;7749;1,3;3,7;31,1;109906,2347
jun. 18;7757;0,1;3,1;34,2;100047,155
jul. 18;7840;1,08;3,9;38,1;90767,03412
ago. 18;7984;1,83;6,5;44,6;78962,83408
sep. 18;8003;0,25;5,4;50;70602,466
oct. 18;8163;2;3,2;53,2;67682,31767
nov. 18;8361;2,42;2,6;55,8;66093,85484
dic. 18;8423;0,74;2,9;58,7;63294,46848
ene. 19;8534;1,32;3,8;62,5;60229,5584
feb. 19;8750;2,53;4,7;67,2;57434,89583
mar. 19;8940;2,17;3,4;70,6;55856,00567
abr. 19;9022;0,92;3,1;73,7;53997,34328
may. 19;9179;1,74;2,7;76,4;52995,50916
jun. 19;9316;1,49;2,2;78,6;52281,01272
jul. 19;9446;1,39;4;82,6;50443,46973
ago. 19;9698;2,67;5,9;88,5;48336,58531
sep. 19;9895;2,03;3,3;91,8;47545,58279
oct. 19;10067;1,73;4,3;96,1;46207,63476
nov. 19;10276;2,08;3,7;99,8;45418,27255
dic. 19;10595;3,11;2,3;102,1;45773,30558
ene. 20;10975;3,59;2;104,1;46504,0586
feb. 20;11300;2,95;3,3;107,4;46409,96276
mar. 20;11656;3,16;1,5;108,9;47212,68687
abr. 20;11847;1,64;1,5;110,4;47334,34511
may. 20;12072;1,9;2,2;112,6;47290,93428
jun. 20;12423;2,91;1,9;114,5;47858,3869
jul. 20;13510;8,75;2,7;117,2;50846,93686
ago. 20;14342;6,16;2,8;120;52718,80167
sep. 20;14876;3,73;3,8;123,8;53003,2601
oct. 20;15327;3,03;3,2;127;53234,17087
nov. 20;15915;3,84;4;131;53588,59924
dic. 20;16394;3,01;4;135;53565,87704
ene. 21;16779;2,35;3,6;138,6;53399,83333
feb. 21;17480;4,18;4,8;143,4;53768,67503
mar. 21;18420;5,38;4,1;147,5;55085,1661
abr. 21;19284;4,69;3,3;150,8;56406,97878
may. 21;20320;5,37;3,2;154;58202,28571
jun. 21;21329;4,96;3;157;59924,98025
jul. 21;22084;3,54;2,5;159,5;61073,68276
ago. 21;22746;3;3,5;163;61553,74601
sep. 21;23525;3,42;3,5;166,5;62323,58859
oct. 21;24575;4,46;2,5;169;64142,20414
nov. 21;25708;4,61;3,8;172,8;65623,83565
dic. 21;26758;4,08;3,9;176,7;66796,56933
ene. 22;27875;4,18;4,7;181,4;67782,04245
feb. 22;29250;4,93;6,7;188,1;68592,10526
mar. 22;30725;5,04;6;194,1;69823,78928
abr. 22;31450;2,36;5,1;199,2;69641,54116
may. 22;33184;5,51;5,3;204,5;71576,83325
jun. 22;36859;11,07;7,4;211,9;76727,25295
jul. 22;40275;9,27;7;218,9;81157,1608
ago. 22;43450;7,88;6,2;225,1;85143,46957
sep. 22;46052;5,99;6,3;231,4;87785,38116
oct. 22;47501;3,15;4,9;236,3;88669,87347
nov. 22;49008;3,17;5,1;241,4;89550,24358
dic. 22;51001;4,07;6;247,4;90931,8557
ene. 23;53620;5,13;6,6;254;93117,25197
feb. 23;57448;7,14;7,7;261,7;96829,62476
mar. 23;61400;6,88;8,4;270,1;100272,2695
abr. 23;65656;6,93;7,8;277,9;104213,2479
may. 23;71072;8,25;6;283,9;110425,7105
jun. 23;76589;7,76;6,3;290,2;116414,2243
jul. 23;82330;7,5;12,4;302,6;120012,4356
ago. 23;91193;10,76;12,7;315,3;127577,6476
sep. 23;101855;11,69;8,3;323,6;138838,8149
oct. 23;114491;12,41;12,8;336,4;150124,7922
nov. 23;143917;25,7;25,5;361,9;175412,5137
dic. 23;176645;22,74;20,6;382,5;203707,4758
ene. 24;198445;12,34;13,2;395,7;221213,2664
feb. 24;211708;6,68;11;406,7;229614,9466
mar. 24;217869;2,91;8,8;415,5;231292,457
abr. 24;224089;2,85;4,2;419,7;235515,0295
may-24;231298;3,22;4,6;424,3;240456,1579
jun-24;239167;3,4;4;428,3;246314,6479
jul-24;246304;2,98;4,2;432,5;251201,6055
ago-24;257077;4,37;3,5;436;260084,0933
sep-24;270555;5,24;2,7;438,7;272035,1276
oct-24;284530;5,17;2,4;441,1;284530
