fecha,nombre_n3,INDEX
ene 17,Remedios Escalada de San Martín,5208
ene 17,Centro,5481
ene 17,Barrio del Abasto,5676
ene 17,Nuestra Sra. de Lourdes,5846
ene 17,Alberto Olmedo,6805
ene 17,Luis Agote,5404
feb 17,Alberto Olmedo,7421
feb 17,Barrio del Abasto,5725
feb 17,Nuestra Sra. de Lourdes,5848
feb 17,Luis Agote,5631
feb 17,Centro,5515
feb 17,Remedios Escalada de San Martín,5408
mar 17,Barrio del Abasto,5806
mar 17,Alberto Olmedo,6687
mar 17,Centro,5641
mar 17,Nuestra Sra. de Lourdes,6275
mar 17,Remedios Escalada de San Martín,5722
mar 17,Luis Agote,5814
abr 17,Centro,5755
abr 17,Luis Agote,5807
abr 17,Nuestra Sra. de Lourdes,6606
abr 17,Remedios Escalada de San Martín,5931
abr 17,Barrio del Abasto,6017
abr 17,Alberto Olmedo,6302
may 17,Barrio del Abasto,6278
may 17,Centro,5995
may 17,Alberto Olmedo,6607
may 17,Remedios Escalada de San Martín,5840
may 17,Nuestra Sra. de Lourdes,6633
may 17,Luis Agote,5780
jun 17,Alberto Olmedo,6679
jun 17,Centro,6153
jun 17,Luis Agote,6042
jun 17,Nuestra Sra. de Lourdes,6818
jun 17,Barrio del Abasto,6191
jun 17,Remedios Escalada de San Martín,5904
jul 17,Remedios Escalada de San Martín,6163
jul 17,Alberto Olmedo,6784
jul 17,Barrio del Abasto,6279
jul 17,Luis Agote,6258
jul 17,Centro,6157
jul 17,Nuestra Sra. de Lourdes,6886
ago 17,Nuestra Sra. de Lourdes,6997
ago 17,Luis Agote,6433
ago 17,Alberto Olmedo,6690
ago 17,Remedios Escalada de San Martín,6237
ago 17,Barrio del Abasto,6270
ago 17,Centro,6181
sep 17,Nuestra Sra. de Lourdes,7028
sep 17,Luis Agote,6440
sep 17,Alberto Olmedo,6760
sep 17,Remedios Escalada de San Martín,6359
sep 17,Barrio del Abasto,6634
sep 17,Centro,6274
oct 17,Remedios Escalada de San Martín,6500
oct 17,Nuestra Sra. de Lourdes,7197
oct 17,Barrio del Abasto,7186
oct 17,Luis Agote,6252
oct 17,Centro,6460
oct 17,Alberto Olmedo,6984
nov 17,Barrio del Abasto,6978
nov 17,Nuestra Sra. de Lourdes,7217
nov 17,Alberto Olmedo,7219
nov 17,Luis Agote,6253
nov 17,Remedios Escalada de San Martín,6828
nov 17,Centro,6579
dic 17,Alberto Olmedo,7530
dic 17,Barrio del Abasto,6899
dic 17,Nuestra Sra. de Lourdes,7420
dic 17,Remedios Escalada de San Martín,7080
dic 17,Centro,6670
dic 17,Luis Agote,6410
ene 18,Remedios Escalada de San Martín,6989
ene 18,Centro,6695
ene 18,Luis Agote,6488
ene 18,Alberto Olmedo,7618
ene 18,Nuestra Sra. de Lourdes,7748
ene 18,Barrio del Abasto,7112
feb 18,Nuestra Sra. de Lourdes,7910
feb 18,Luis Agote,6864
feb 18,Centro,6839
feb 18,Barrio del Abasto,7379
feb 18,Alberto Olmedo,7431
feb 18,Remedios Escalada de San Martín,7032
mar 18,Centro,7228
mar 18,Barrio del Abasto,7696
mar 18,Alberto Olmedo,7975
mar 18,Remedios Escalada de San Martín,7321
mar 18,Nuestra Sra. de Lourdes,8087
mar 18,Luis Agote,7333
abr 18,Remedios Escalada de San Martín,7589
abr 18,Centro,7498
abr 18,Luis Agote,7700
abr 18,Barrio del Abasto,7788
abr 18,Nuestra Sra. de Lourdes,8249
abr 18,Alberto Olmedo,8513
may 18,Nuestra Sra. de Lourdes,8362
may 18,Barrio del Abasto,7966
may 18,Alberto Olmedo,8224
may 18,Remedios Escalada de San Martín,7560
may 18,Centro,7522
may 18,Luis Agote,7962
jun 18,Centro,7636
jun 18,Barrio del Abasto,8063
jun 18,Remedios Escalada de San Martín,7653
jun 18,Nuestra Sra. de Lourdes,8331
jun 18,Alberto Olmedo,8027
jun 18,Luis Agote,7752
jul 18,Luis Agote,7605
jul 18,Remedios Escalada de San Martín,7951
jul 18,Alberto Olmedo,8107
jul 18,Barrio del Abasto,8154
jul 18,Centro,7760
jul 18,Nuestra Sra. de Lourdes,8588
ago 18,Barrio del Abasto,8285
ago 18,Centro,7736
ago 18,Nuestra Sra. de Lourdes,8957
ago 18,Alberto Olmedo,8427
ago 18,Luis Agote,7606
ago 18,Remedios Escalada de San Martín,8008
sep 18,Luis Agote,7605
sep 18,Nuestra Sra. de Lourdes,9021
sep 18,Remedios Escalada de San Martín,8078
sep 18,Barrio del Abasto,8292
sep 18,Alberto Olmedo,8727
sep 18,Centro,7794
oct 18,Luis Agote,7873
oct 18,Nuestra Sra. de Lourdes,9127
oct 18,Remedios Escalada de San Martín,8361
oct 18,Centro,8060
oct 18,Barrio del Abasto,8548
oct 18,Alberto Olmedo,9030
nov 18,Luis Agote,8149
nov 18,Barrio del Abasto,8752
nov 18,Alberto Olmedo,9135
nov 18,Remedios Escalada de San Martín,8550
nov 18,Nuestra Sra. de Lourdes,9170
nov 18,Centro,8331
dic 18,Nuestra Sra. de Lourdes,9088
dic 18,Luis Agote,8167
dic 18,Alberto Olmedo,9240
dic 18,Barrio del Abasto,8733
dic 18,Centro,8452
dic 18,Remedios Escalada de San Martín,8711
ene 19,Alberto Olmedo,9339
ene 19,Luis Agote,8225
ene 19,Centro,8614
ene 19,Nuestra Sra. de Lourdes,9221
ene 19,Remedios Escalada de San Martín,8767
ene 19,Barrio del Abasto,8832
feb 19,Barrio del Abasto,8913
feb 19,Centro,8854
feb 19,Luis Agote,8389
feb 19,Remedios Escalada de San Martín,8871
feb 19,Nuestra Sra. de Lourdes,9503
feb 19,Alberto Olmedo,9550
mar 19,Nuestra Sra. de Lourdes,9522
mar 19,Remedios Escalada de San Martín,9112
mar 19,Centro,9001
mar 19,Luis Agote,8694
mar 19,Alberto Olmedo,9852
mar 19,Barrio del Abasto,9040
abr 19,Centro,9079
abr 19,Luis Agote,8786
abr 19,Remedios Escalada de San Martín,9351
abr 19,Alberto Olmedo,9889
abr 19,Barrio del Abasto,9366
abr 19,Nuestra Sra. de Lourdes,9374
may 19,Luis Agote,8836
may 19,Centro,9246
may 19,Alberto Olmedo,10033
may 19,Barrio del Abasto,9592
may 19,Nuestra Sra. de Lourdes,9561
may 19,Remedios Escalada de San Martín,9518
jun 19,Remedios Escalada de San Martín,9600
jun 19,Barrio del Abasto,9703
jun 19,Nuestra Sra. de Lourdes,9839
jun 19,Alberto Olmedo,10135
jun 19,Luis Agote,9095
jun 19,Centro,9359
jul 19,Luis Agote,9178
jul 19,Remedios Escalada de San Martín,9882
jul 19,Nuestra Sra. de Lourdes,10123
jul 19,Barrio del Abasto,9773
jul 19,Alberto Olmedo,9946
jul 19,Centro,9396
ago 19,Luis Agote,9257
ago 19,Nuestra Sra. de Lourdes,10335
ago 19,Remedios Escalada de San Martín,10069
ago 19,Barrio del Abasto,9921
ago 19,Centro,9622
ago 19,Alberto Olmedo,10107
sep 19,Barrio del Abasto,9976
sep 19,Centro,9852
sep 19,Alberto Olmedo,10637
sep 19,Luis Agote,9458
sep 19,Remedios Escalada de San Martín,10125
sep 19,Nuestra Sra. de Lourdes,10543
