fecha,nombre_n3,ESTRENAR
ene 17,Remedios Escalada de San Martín,5295
ene 17,Centro,6302
ene 17,Barrio del Abasto,null
ene 17,Nuestra Sra. de Lourdes,6432
ene 17,Alberto Olmedo,8019
ene 17,Luis Agote,null
feb 17,Alberto Olmedo,10792
feb 17,Barrio del Abasto,null
feb 17,Nuestra Sra. de Lourdes,null
feb 17,Luis Agote,null
feb 17,Centro,6631
feb 17,Remedios Escalada de San Martín,5512
mar 17,Barrio del Abasto,null
mar 17,Alberto Olmedo,13100
mar 17,Centro,7084
mar 17,Nuestra Sra. de Lourdes,null
mar 17,Remedios Escalada de San Martín,5912
mar 17,Luis Agote,null
abr 17,Centro,7595
abr 17,Luis Agote,null
abr 17,Nuestra Sra. de Lourdes,7462
abr 17,Remedios Escalada de San Martín,6250
abr 17,Barrio del Abasto,null
abr 17,Alberto Olmedo,13813
may 17,Barrio del Abasto,null
may 17,Centro,7482
may 17,Alberto Olmedo,10220
may 17,Remedios Escalada de San Martín,5890
may 17,Nuestra Sra. de Lourdes,7214
may 17,Luis Agote,null
jun 17,Alberto Olmedo,6636
jun 17,Centro,6910
jun 17,Luis Agote,null
jun 17,Nuestra Sra. de Lourdes,7289
jun 17,Barrio del Abasto,null
jun 17,Remedios Escalada de San Martín,5967
jul 17,Remedios Escalada de San Martín,6313
jul 17,Alberto Olmedo,6845
jul 17,Barrio del Abasto,null
jul 17,Luis Agote,null
jul 17,Centro,6934
jul 17,Nuestra Sra. de Lourdes,7507
ago 17,Nuestra Sra. de Lourdes,7763
ago 17,Luis Agote,null
ago 17,Alberto Olmedo,6931
ago 17,Remedios Escalada de San Martín,6358
ago 17,Barrio del Abasto,null
ago 17,Centro,6986
sep 17,Nuestra Sra. de Lourdes,7681
sep 17,Luis Agote,null
sep 17,Alberto Olmedo,7016
sep 17,Remedios Escalada de San Martín,6395
sep 17,Barrio del Abasto,null
sep 17,Centro,7158
oct 17,Remedios Escalada de San Martín,6434
oct 17,Nuestra Sra. de Lourdes,7649
oct 17,Barrio del Abasto,null
oct 17,Luis Agote,null
oct 17,Centro,7311
