fecha,nombre_n3,USADOS
ene 17,Remedios Escalada de San Martín,5182
ene 17,Centro,5397
ene 17,Barrio del Abasto,5648
ene 17,Nuestra Sra. de Lourdes,5789
ene 17,Alberto Olmedo,6732
ene 17,Luis Agote,5364
feb 17,Alberto Olmedo,7073
feb 17,Barrio del Abasto,5725
feb 17,Nuestra Sra. de Lourdes,5796
feb 17,Luis Agote,5611
feb 17,Centro,5439
feb 17,Remedios Escalada de San Martín,5395
mar 17,Barrio del Abasto,5806
mar 17,Alberto Olmedo,6327
mar 17,Centro,5558
mar 17,Nuestra Sra. de Lourdes,6203
mar 17,Remedios Escalada de San Martín,5713
mar 17,Luis Agote,5803
abr 17,Centro,5674
abr 17,Luis Agote,5738
abr 17,Nuestra Sra. de Lourdes,6440
abr 17,Remedios Escalada de San Martín,5900
abr 17,Barrio del Abasto,6017
abr 17,Alberto Olmedo,6152
may 17,Barrio del Abasto,6179
may 17,Centro,5914
may 17,Alberto Olmedo,6559
may 17,Remedios Escalada de San Martín,5868
may 17,Nuestra Sra. de Lourdes,6430
may 17,Luis Agote,5582
jun 17,Alberto Olmedo,6685
jun 17,Centro,6067
jun 17,Luis Agote,5824
jun 17,Nuestra Sra. de Lourdes,6638
jun 17,Barrio del Abasto,5992
jun 17,Remedios Escalada de San Martín,5865
jul 17,Remedios Escalada de San Martín,6104
jul 17,Alberto Olmedo,6769
jul 17,Barrio del Abasto,6166
jul 17,Luis Agote,6140
jul 17,Centro,6061
jul 17,Nuestra Sra. de Lourdes,6707
ago 17,Nuestra Sra. de Lourdes,6797
ago 17,Luis Agote,6460
ago 17,Alberto Olmedo,6631
ago 17,Remedios Escalada de San Martín,6232
ago 17,Barrio del Abasto,6301
ago 17,Centro,6083
sep 17,Nuestra Sra. de Lourdes,6791
sep 17,Luis Agote,6562
sep 17,Alberto Olmedo,6682
sep 17,Remedios Escalada de San Martín,6377
sep 17,Barrio del Abasto,6728
sep 17,Centro,6181
oct 17,Remedios Escalada de San Martín,6526
oct 17,Nuestra Sra. de Lourdes,6976
oct 17,Barrio del Abasto,7266
oct 17,Luis Agote,6354
oct 17,Centro,6372
oct 17,Alberto Olmedo,6896
nov 17,Barrio del Abasto,7025
nov 17,Nuestra Sra. de Lourdes,7086
nov 17,Alberto Olmedo,7155
nov 17,Luis Agote,6357
nov 17,Remedios Escalada de San Martín,6852
nov 17,Centro,6495
dic 17,Alberto Olmedo,7537
dic 17,Barrio del Abasto,6920
dic 17,Nuestra Sra. de Lourdes,7339
dic 17,Remedios Escalada de San Martín,7107
dic 17,Centro,6605
